transaction_id,claimant_id,claimant_name,payment_type,amount,payment_date,region,is_flagged,flag_reason,processed_by
TXN00267,C015,Olivia Thompson,Rehabilitation Allowance,1231.86,2024-05-08,Surrey,0,,EMP005
TXN00268,C003,Carol White,Rehabilitation Allowance,2210.17,2024-09-14,Surrey,0,,EMP010
TXN00269,C003,Carol White,Pension,890.63,2024-10-15,Kelowna,0,,EMP002
TXN00270,C001,Alice Johnson,Medical Reimbursement,1263.78,2024-11-29,Abbotsford,0,,EMP010
TXN00271,C011,Karen Davis,Weekly Benefit,2000.27,2024-11-17,Prince George,0,,EMP005
TXN00272,C008,Henry Patel,Pension,1797.8,2024-06-01,Victoria,0,,EMP003
TXN00273,C008,Henry Patel,Short-Term Disability,1248.85,2024-08-25,Prince George,0,,EMP006
TXN00274,C014,Nathan Scott,Rehabilitation Allowance,1087.69,2024-07-23,Kelowna,0,,EMP009
TXN00275,C002,Bob Martinez,Rehabilitation Allowance,1069.55,2024-08-26,Richmond,0,,EMP003
TXN00276,C002,Bob Martinez,Weekly Benefit,2701.16,2024-07-15,Abbotsford,0,,EMP003
TXN00277,C014,Nathan Scott,Rehabilitation Allowance,2478.87,2024-04-07,Kelowna,0,,EMP009
TXN00278,C008,Henry Patel,Short-Term Disability,850.99,2024-09-11,Abbotsford,0,,EMP009
TXN00279,C008,Henry Patel,Pension,8464.26,2024-10-25,Richmond,1,Amount Exceeds Threshold,EMP008
TXN00280,C005,Emma Singh,Medical Reimbursement,1748.04,2024-02-25,Vancouver,0,,EMP006
TXN00281,C013,Maria Garcia,Short-Term Disability,1681.28,2024-01-24,Kelowna,0,,EMP004
TXN00282,C006,Frank Lee,Medical Reimbursement,1649.97,2024-02-07,Abbotsford,0,,EMP009
TXN00283,C005,Emma Singh,Medical Reimbursement,2945.18,2024-03-06,Surrey,0,,EMP006
TXN00284,C009,Irene Brown,Rehabilitation Allowance,2125.42,2024-04-11,Burnaby,0,,EMP001
TXN00285,C001,Alice Johnson,Weekly Benefit,1532.69,2024-12-31,Burnaby,0,,EMP008
TXN00286,C003,Carol White,Medical Reimbursement,2849.01,2024-06-16,Burnaby,0,,EMP007
TXN00287,C010,James Wilson,Rehabilitation Allowance,2622.24,2024-09-16,Kelowna,0,,EMP010
TXN00288,C005,Emma Singh,Short-Term Disability,1528.73,2024-07-07,Vancouver,1,Inactive Claimant Status,EMP007
TXN00289,C010,James Wilson,Rehabilitation Allowance,1844.1,2024-11-01,Vancouver,0,,EMP010
TXN00290,C010,James Wilson,Pension,1856.99,2024-10-25,Vancouver,0,,EMP010
TXN00291,C013,Maria Garcia,Short-Term Disability,1332.83,2024-12-14,Burnaby,0,,EMP002
TXN00292,C004,David Chen,Weekly Benefit,1721.32,2024-06-09,Prince George,0,,EMP004
TXN00293,C007,Grace Kim,Medical Reimbursement,2352.71,2024-02-01,Prince George,0,,EMP009
TXN00294,C006,Frank Lee,Short-Term Disability,2904.71,2024-06-09,Victoria,0,,EMP009
TXN00295,C006,Frank Lee,Medical Reimbursement,2498.38,2024-12-12,Kelowna,0,,EMP005
TXN00296,C010,James Wilson,Short-Term Disability,1413.81,2024-05-06,Richmond,0,,EMP005
TXN00297,C013,Maria Garcia,Rehabilitation Allowance,2350.97,2024-12-19,Richmond,0,,EMP006
TXN00298,C009,Irene Brown,Rehabilitation Allowance,2061.65,2024-03-03,Abbotsford,0,,EMP007
TXN00299,C014,Nathan Scott,Rehabilitation Allowance,892.55,2024-05-28,Burnaby,0,,EMP002
TXN00300,C006,Frank Lee,Short-Term Disability,1270.77,2024-09-02,Abbotsford,0,,EMP005
